Time,ZoneTemp,PMV,Energy_kWh,HeatingSetPoint,CoolingSetPoint
Timestamp,21.999539585867254,0.3,1.2,20.0,22.0
Timestamp,21.999752225055722,0.3,1.2,20.0,22.0
Timestamp,21.973389097516733,0.3,1.2,20.0,22.0
Timestamp,21.90804685400762,0.3,1.2,20.0,22.0
Timestamp,22.10481939695528,0.3,1.2,20.0,22.0
Timestamp,22.11293945118811,0.3,1.2,20.0,22.0
Timestamp,22.110054482892988,0.3,1.2,20.0,22.0
Timestamp,22.088990785013003,0.3,1.2,20.0,22.0
Timestamp,22.031150243051577,0.3,1.2,20.0,22.0
Timestamp,21.961758650475034,0.3,1.2,20.0,22.0
Timestamp,21.89675136864157,0.3,1.2,20.0,22.0
Timestamp,21.838400075508225,0.3,1.2,20.0,22.0
Timestamp,21.78436231269787,0.3,1.2,20.0,22.0
Timestamp,21.73294095285773,0.3,1.2,20.0,22.0
Timestamp,21.683642551014433,0.3,1.2,20.0,22.0
Timestamp,21.636407729076918,0.3,1.2,20.0,22.0
Timestamp,21.59122708682979,0.3,1.2,20.0,22.0
Timestamp,21.547975519929324,0.3,1.2,20.0,22.0
Timestamp,21.506664036639375,0.3,1.2,20.0,22.0
Timestamp,21.467038085157434,0.3,1.2,20.0,22.0
Timestamp,21.42751884577364,0.3,1.2,20.0,22.0
Timestamp,21.38838609725734,0.3,1.2,20.0,22.0
Timestamp,21.350282842192275,0.3,1.2,20.0,22.0
Timestamp,21.31347764724019,0.3,1.2,20.0,22.0
Timestamp,21.27828481223642,0.3,1.2,20.0,22.0
Timestamp,21.244451247147367,0.3,1.2,20.0,22.0
Timestamp,21.211719841473133,0.3,1.2,20.0,22.0
Timestamp,21.17999737302139,0.3,1.2,20.0,22.0
Timestamp,21.14929112634781,0.3,1.2,20.0,22.0
Timestamp,21.11958091223809,0.3,1.2,20.0,22.0
Timestamp,21.09084441802379,0.3,1.2,20.0,22.0
Timestamp,21.063070052134822,0.3,1.2,20.0,22.0
Timestamp,21.036243634711727,0.3,1.2,20.0,22.0
Timestamp,21.01033315633824,0.3,1.2,20.0,22.0
Timestamp,20.985294828676995,0.3,1.2,20.0,22.0
Timestamp,20.961083932465872,0.3,1.2,20.0,22.0
Timestamp,20.937660136448457,0.3,1.2,20.0,22.0
Timestamp,20.914944169301112,0.3,1.2,20.0,22.0
Timestamp,20.892848527517458,0.3,1.2,20.0,22.0
Timestamp,20.87136866769823,0.3,1.2,20.0,22.0
Timestamp,20.850502216357942,0.3,1.2,20.0,22.0
Timestamp,20.83020032756545,0.3,1.2,20.0,22.0
Timestamp,20.810389686638175,0.3,1.2,20.0,22.0
Timestamp,20.79107199433177,0.3,1.2,20.0,22.0
Timestamp,20.44740460353186,0.3,1.2,20.0,22.0
Timestamp,20.248864119804328,0.3,1.2,20.0,22.0
Timestamp,20.15863409373243,0.3,1.2,20.0,22.0
Timestamp,20.0865742136005,0.3,1.2,20.0,22.0
Timestamp,20.054776006736457,0.3,1.2,20.0,22.0
Timestamp,20.033105016440377,0.3,1.2,20.0,22.0
Timestamp,20.01231457162591,0.3,1.2,20.0,22.0
Timestamp,20.00388451801644,0.3,1.2,20.0,22.0
Timestamp,21.340269919162246,0.3,1.2,20.0,22.0
Timestamp,21.998734268834934,0.3,1.2,20.0,22.0
Timestamp,21.998749815634646,0.3,1.2,20.0,22.0
Timestamp,21.9995251571319,0.3,1.2,20.0,22.0
Timestamp,22.443590392649718,0.3,1.2,20.0,22.0
Timestamp,22.738054007164354,0.3,1.2,20.0,22.0
Timestamp,22.895261498370214,0.3,1.2,20.0,22.0
Timestamp,23.01085680436442,0.3,1.2,20.0,22.0
Timestamp,23.112342701485186,0.3,1.2,20.0,22.0
