Time,HOT WATER LOOP:SPACE1-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE2-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE3-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE4-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE5-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:OA HEATING COIL 1:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:MAIN HEATING COIL 1:Design Water Volume Flow Rate [m3/s]
23:30:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
23:45:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00
24:00:00,2.480184E-05,1.331561E-05,2.993424E-05,1.687736E-05,2.786082E-05,0.000000E+00,0.000000E+00

Time,CHILLED WATER LOOP:OA COOLING COIL 1:Design Water Volume Flow Rate [m3/s],CHILLED WATER LOOP:MAIN COOLING COIL 1:Design Water Volume Flow Rate [m3/s]
00:15:00,5.508717E-04,2.951440E-04
00:30:00,5.508717E-04,2.951440E-04
00:45:00,5.508717E-04,2.951440E-04
01:00:00,5.508717E-04,2.951440E-04
01:15:00,5.508717E-04,2.951440E-04
01:30:00,5.508717E-04,2.951440E-04
01:45:00,5.508717E-04,2.951440E-04
02:00:00,5.508717E-04,2.951440E-04
02:15:00,5.508717E-04,2.951440E-04
02:30:00,5.508717E-04,2.951440E-04
02:45:00,5.508717E-04,2.951440E-04
03:00:00,5.508717E-04,2.951440E-04
03:15:00,5.508717E-04,2.951440E-04
03:30:00,5.508717E-04,2.951440E-04
03:45:00,5.508717E-04,2.951440E-04
04:00:00,5.508717E-04,2.951440E-04
04:15:00,5.508717E-04,2.951440E-04
04:30:00,5.508717E-04,2.951440E-04
04:45:00,5.508717E-04,2.951440E-04
05:00:00,5.508717E-04,2.951440E-04
05:15:00,5.508717E-04,2.951440E-04
05:30:00,5.508717E-04,2.951440E-04
05:45:00,5.508717E-04,2.951440E-04
06:00:00,5.508717E-04,2.951440E-04
06:15:00,5.508717E-04,2.951440E-04
06:30:00,5.508717E-04,2.951440E-04
06:45:00,5.508717E-04,2.951440E-04
07:00:00,5.508717E-04,2.951440E-04
07:15:00,5.508717E-04,2.951440E-04
07:30:00,5.545178E-04,2.970975E-04
07:45:00,6.346666E-04,3.400394E-04
08:00:00,7.113507E-04,3.811249E-04
08:15:00,8.431258E-04,4.517269E-04
08:30:00,9.801049E-04,5.251170E-04
08:45:00,1.132812E-03,6.069339E-04
09:00:00,1.351594E-03,7.241523E-04
09:15:00,1.525231E-03,8.171824E-04
09:30:00,1.714174E-03,9.184138E-04
09:45:00,1.865764E-03,9.996320E-04
10:00:00,2.005689E-03,1.074600E-03
10:15:00,2.045910E-03,1.096150E-03
10:30:00,2.072521E-03,1.110408E-03
10:45:00,2.087930E-03,1.118663E-03
11:00:00,2.094628E-03,1.122252E-03
11:15:00,2.066540E-03,1.107203E-03
11:30:00,2.031630E-03,1.088499E-03
11:45:00,1.992243E-03,1.067397E-03
12:00:00,1.950948E-03,1.045272E-03
12:15:00,1.883129E-03,1.008936E-03
12:30:00,1.817409E-03,9.737248E-04
12:45:00,1.755552E-03,9.405832E-04
13:00:00,1.698804E-03,9.101788E-04
13:15:00,1.750920E-03,9.381017E-04
13:30:00,1.812679E-03,9.711905E-04
13:45:00,1.882205E-03,1.008441E-03
14:00:00,1.957275E-03,1.048661E-03
14:15:00,2.000100E-03,1.071606E-03
14:30:00,2.045406E-03,1.095880E-03
